Subject,X,RotAccErrTot.x,RotErrTot.x,RotPartial.x,RotSpeedErrTot.x,OspanAccErrTot.x,OspanMathErrTot.x,OspanPartial.x,OspanSpeedErrTot.x,SymmAccErrTot.x,SymmSpeedErrTot.x,SspanPartial.x,SymmErrTot.x,ZRotErrTot.x,ZRotPartial.x,ZOspanMathErrTot.x,ZOspanPartial.x,ZSspanPartial.x,ZSymmErrTot.x,Melody,AscendingDescending,Condition,cadence_type,change,ascDescFin1,Condition1,ascDescFin2,Condition2,ascDescFin3,Condition3,ascDescFin4,Condition4,ascDescFin5,Condition5,ascDescFin6,Condition6,ascDescFin7,Condition7,ascDescFin8,Condition8,RotAccErrTot.y,RotErrTot.y,RotPartial.y,RotSpeedErrTot.y,OspanAccErrTot.y,OspanMathErrTot.y,OspanPartial.y,OspanSpeedErrTot.y,SymmAccErrTot.y,SymmSpeedErrTot.y,SspanPartial.y,SymmErrTot.y,ZRotErrTot.y,ZRotPartial.y,ZOspanMathErrTot.y,ZOspanPartial.y,ZSspanPartial.y,ZSymmErrTot.y,WMC,rotAbsolute,rotBlock1,rotPartial,symErrorTotal,symAccErrorTotal,symSpeedErorTotal,symSspanPartialScore,ACTIVE,PERCEPTUAL,MUSICAL,SINGING,EMOTIONS,GENERAL,classical,blues,country,dancElectronica,folk,rapHipHop,soulFunk,relgious,alternative,jazz,rock,pop,heavyMetal,SoundtracksThemeSongs,familyIncome,highestFather,highestMother,melodicTraning,melodicCourses,melodicPrivate,harmonicTraning,harmonicCourses,harmonicPrivate,sightsingTraning,sightsingCourses,sightsingPrivate,instrument,age,gender,meds,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75
7,52,1,1,12,0,1,2,19,1,0,1,6,1,-0.16366,0.89905,0.27669,-0.07477,-1.11895,0.02739,mel5P007.aif,1,A,ascending,no_change,2,A,1,A,1,A,1,A,1,A,2,A,1,A,1,A,1,1,12,0,1,2,19,1,0,1,6,1,-0.16366,0.89905,0.27669,-0.07477,-1.11895,0.02739,-0.1,5,12,12,1,0,1,6,58,51,34,32,39,97,6,7,3,6,5,4,5,5,7,6,7,5,6,7,5,6,8,2,3,1,2,3,1,2,4,7,Voice,23,female,0,7,5,7,6,7,7,6,6,7,6,5,6,6,4,6,6,6,6,6,5,5,4,5,5,4,4,5,4,6,6,5,2,6,6,7,6,7,7
7,53,1,1,12,0,1,2,19,1,0,1,6,1,-0.16366,0.89905,0.27669,-0.07477,-1.11895,0.02739,mel1P007.aif,2,A,descending,no_change,2,A,1,A,1,A,1,A,1,A,2,A,1,A,1,A,1,1,12,0,1,2,19,1,0,1,6,1,-0.16366,0.89905,0.27669,-0.07477,-1.11895,0.02739,-0.1,5,12,12,1,0,1,6,58,51,34,32,39,97,6,7,3,6,5,4,5,5,7,6,7,5,6,7,5,6,8,2,3,1,2,3,1,2,4,7,Voice,23,female,0,7,5,7,6,7,7,6,6,7,6,5,6,6,4,6,6,6,6,6,5,5,4,5,5,4,4,5,4,6,6,5,2,6,6,7,6,7,7
7,54,1,1,12,0,1,2,19,1,0,1,6,1,-0.16366,0.89905,0.27669,-0.07477,-1.11895,0.02739,mel7P007.aif,1,A,ascending,no_change,2,A,1,A,1,A,1,A,1,A,2,A,1,A,1,A,1,1,12,0,1,2,19,1,0,1,6,1,-0.16366,0.89905,0.27669,-0.07477,-1.11895,0.02739,-0.1,5,12,12,1,0,1,6,58,51,34,32,39,97,6,7,3,6,5,4,5,5,7,6,7,5,6,7,5,6,8,2,3,1,2,3,1,2,4,7,Voice,23,female,0,7,5,7,6,7,7,6,6,7,6,5,6,6,4,6,6,6,6,6,5,5,4,5,5,4,4,5,4,6,6,5,2,6,6,7,6,7,7
7,55,1,1,12,0,1,2,19,1,0,1,6,1,-0.16366,0.89905,0.27669,-0.07477,-1.11895,0.02739,mel4P007.aif,1,A,descending,change,2,A,1,A,1,A,1,A,1,A,2,A,1,A,1,A,1,1,12,0,1,2,19,1,0,1,6,1,-0.16366,0.89905,0.27669,-0.07477,-1.11895,0.02739,-0.1,5,12,12,1,0,1,6,58,51,34,32,39,97,6,7,3,6,5,4,5,5,7,6,7,5,6,7,5,6,8,2,3,1,2,3,1,2,4,7,Voice,23,female,0,7,5,7,6,7,7,6,6,7,6,5,6,6,4,6,6,6,6,6,5,5,4,5,5,4,4,5,4,6,6,5,2,6,6,7,6,7,7
7,56,1,1,12,0,1,2,19,1,0,1,6,1,-0.16366,0.89905,0.27669,-0.07477,-1.11895,0.02739,mel2P007.aif,1,A,descending,change,2,A,1,A,1,A,1,A,1,A,2,A,1,A,1,A,1,1,12,0,1,2,19,1,0,1,6,1,-0.16366,0.89905,0.27669,-0.07477,-1.11895,0.02739,-0.1,5,12,12,1,0,1,6,58,51,34,32,39,97,6,7,3,6,5,4,5,5,7,6,7,5,6,7,5,6,8,2,3,1,2,3,1,2,4,7,Voice,23,female,0,7,5,7,6,7,7,6,6,7,6,5,6,6,4,6,6,6,6,6,5,5,4,5,5,4,4,5,4,6,6,5,2,6,6,7,6,7,7
8,57,2,2,7,0,2,2,17,0,1,0,13,1,0.40916,-0.60654,0.27669,-0.44862,0.98984,0.02739,mel6P008.aif,1,B,descending,change,2,B,,B,1,B,2,B,1,B,1,B,1,B,1,B,2,2,7,0,2,2,17,0,1,0,13,1,0.40916,-0.60654,0.27669,-0.44862,0.98984,0.02739,-0.02,3,7,7,1,1,0,13,52,57,42,37,33,108,5,5,3,5,4,4,6,7,7,6,6,6,3,6,4,6,6,2,2,1,3,2,5,2,2,2,Trumpetn,18,MALEn,1,7,3,6,7,5,7,7,7,3,6,6,6,7,6,7,7,6,6,7,7,6,7,6,6,3,6,7,6,6,6,4,2,5,5,5,6,5,7
8,58,2,2,7,0,2,2,17,0,1,0,13,1,0.40916,-0.60654,0.27669,-0.44862,0.98984,0.02739,mel8P008.aif,1,B,descending,change,2,B,,B,1,B,2,B,1,B,1,B,1,B,1,B,2,2,7,0,2,2,17,0,1,0,13,1,0.40916,-0.60654,0.27669,-0.44862,0.98984,0.02739,-0.02,3,7,7,1,1,0,13,52,57,42,37,33,108,5,5,3,5,4,4,6,7,7,6,6,6,3,6,4,6,6,2,2,1,3,2,5,2,2,2,Trumpetn,18,MALEn,1,7,3,6,7,5,7,7,7,3,6,6,6,7,6,7,7,6,6,7,7,6,7,6,6,3,6,7,6,6,6,4,2,5,5,5,6,5,7
8,60,2,2,7,0,2,2,17,0,1,0,13,1,0.40916,-0.60654,0.27669,-0.44862,0.98984,0.02739,mel4P008.aif,2,B,ascending,change,2,B,,B,1,B,2,B,1,B,1,B,1,B,1,B,2,2,7,0,2,2,17,0,1,0,13,1,0.40916,-0.60654,0.27669,-0.44862,0.98984,0.02739,-0.02,3,7,7,1,1,0,13,52,57,42,37,33,108,5,5,3,5,4,4,6,7,7,6,6,6,3,6,4,6,6,2,2,1,3,2,5,2,2,2,Trumpetn,18,MALEn,1,7,3,6,7,5,7,7,7,3,6,6,6,7,6,7,7,6,6,7,7,6,7,6,6,3,6,7,6,6,6,4,2,5,5,5,6,5,7
8,61,2,2,7,0,2,2,17,0,1,0,13,1,0.40916,-0.60654,0.27669,-0.44862,0.98984,0.02739,mel5P008.aif,1,B,descending,change,2,B,,B,1,B,2,B,1,B,1,B,1,B,1,B,2,2,7,0,2,2,17,0,1,0,13,1,0.40916,-0.60654,0.27669,-0.44862,0.98984,0.02739,-0.02,3,7,7,1,1,0,13,52,57,42,37,33,108,5,5,3,5,4,4,6,7,7,6,6,6,3,6,4,6,6,2,2,1,3,2,5,2,2,2,Trumpetn,18,MALEn,1,7,3,6,7,5,7,7,7,3,6,6,6,7,6,7,7,6,6,7,7,6,7,6,6,3,6,7,6,6,6,4,2,5,5,5,6,5,7
8,62,2,2,7,0,2,2,17,0,1,0,13,1,0.40916,-0.60654,0.27669,-0.44862,0.98984,0.02739,mel7P008.aif,1,B,descending,change,2,B,,B,1,B,2,B,1,B,1,B,1,B,1,B,2,2,7,0,2,2,17,0,1,0,13,1,0.40916,-0.60654,0.27669,-0.44862,0.98984,0.02739,-0.02,3,7,7,1,1,0,13,52,57,42,37,33,108,5,5,3,5,4,4,6,7,7,6,6,6,3,6,4,6,6,2,2,1,3,2,5,2,2,2,Trumpetn,18,MALEn,1,7,3,6,7,5,7,7,7,3,6,6,6,7,6,7,7,6,6,7,7,6,7,6,6,3,6,7,6,6,6,4,2,5,5,5,6,5,7
