melodyFile,cd3,cd2,cd1,cdVector,cdAscDesc,cdNotes,coder,melody
mel6P003.aif,mi,re,do,210,2,,Connor,mel6
mel6P004.aif,mi,re,do,210,2,,Connor,mel6
mel6P006.aif,mi,re,do,210,2,,Connor,mel6
mel6P007.aif,mi,re,do,210,2,,Connor,mel6
mel6P008.aif,mi,re,do,210,2,,Connor,mel6
mel6P009.aif,mi,re,do,210,2,,Connor,mel6
mel6P010.aif,fa,re,do,210,2,,Connor,mel6
mel6P011.aif,,,,210,2,not really in a key,Connor,mel6
mel6P012.aif,sol,re,do,210,2,,Connor,mel6
mel6P013.aif,,,,210,2,not really in a key,Connor,mel6
mel6P014.aif,,,,120,2,not really in a key,Connor,mel6
mel6P015.aif,mi,re,do,210,2,,Connor,mel6
mel6P016.aif,mi,re,do,210,2,,Connor,mel6
mel6P017.aif,mi,re,do,210,2,,Connor,mel6
mel6P018.aif,mi,re,do,210,2,,Connor,mel6
mel6P019.aif,fa,re,do,210,2,,Connor,mel6
mel6P020.aif,mi,re,do,210,2,,Connor,mel6
mel6P021.aif,fa,re,mi,201,1,,Connor,mel6
mel6P022.aif,do,ti,do,101,1,,Connor,mel6
mel6P023.aif,fa,ti,do,201,1,,Connor,mel6
mel6P024.aif,mi,re,do,210,2,,Connor,mel6
mel6P025.aif,mi,re,do,210,2,,Connor,mel6
mel6P026.aif,mi,re,do,210,2,,Connor,mel6
mel6P027.aif,fa,re,do,210,2,,Connor,mel6
mel6P028.aif,,,,101,1,not in a key at the end,Connor,mel6
mel6P029.aif,fa,ti,do,201,1,,Connor,mel6
mel6P030.aif,do,re,mi,12,1,,Connor,mel6
mel6P031.aif,mi,re,do,210,2,,Connor,mel6
mel6P032.aif,,,,210,2,not in a key at the end,Connor,mel6
mel6P033.aif,fa,ti,do,201,1,,Connor,mel6
mel6P034.aif,mi,re,do,210,2,,Connor,mel6
mel6P035.aif,re,ti,do,201,1,,Connor,mel6
mel6P036.aif,sol,re,do,210,2,,Connor,mel6
mel6P037.aif,fa,re,do,210,2,,Connor,mel6
mel6P038.aif,mi,re,do,210,2,,Connor,mel6
mel6P039.aif,mi,re,do,210,2,,Connor,mel6
mel6P040.aif,mi,re,do,210,2,,Connor,mel6
mel6P041.aif,,,,210,2,not in a key at the end,Connor,mel6
mel6P042.aif,mi,re,do,210,2,,Connor,mel6
mel6P201.aif,mi,fa,re,120,2,,Connor,mel6
mel6P202.aif,,,,101,2,I'm not really certain about this one,Connor,mel6
mel6P203.aif,,,,,2,not really in a key,Connor,mel6
mel6P204.aif,,,,210,2,not really in a key,Connor,mel6
mel6P205.aif,mi,re,do,210,2,,Connor,mel6
mel6P207.aif,,,,210,1,not really in a key,Connor,mel6
mel6P208.aif,mi,fa,re,120,2,,Connor,mel6
mel6P209.aif,fa,sol,mi,120,2,,Connor,mel6
mel6P210.aif,re,do,ti,210,2,solfege is questionable. Participant gave up at the end,Connor,mel6
mel6P211.aif,,,,210,2,not really in a key,Connor,mel6
mel6P212.aif,,,,120,2,not really in a key,Connor,mel6
mel6P213.aif,sol,mi,re,210,2,not certain about this solfege,Connor,mel6
mel6P214.aif,fa,mi,re,210,2,,Connor,mel6
mel6P215.aif,fa,mi,re,210,2,,Connor,mel6
mel6P216.aif,mi,re,do,210,2,,Connor,mel6
mel6P217.aif,re,mi,do,120,2,a bit out of tune,Connor,mel6
mel6P218.aif,do,re,do,10,2,,Connor,mel6
mel6P219.aif,fa,re,do,210,2,,Connor,mel6
mel6P220.aif,re,mi,fa,12,1,,Connor,mel6
mel6P221.aif,,,,101,1,clearly didn't take this seriously,Connor,mel6
mel6P223.aif,sol,mi,re,210,2,,Connor,mel6
mel6P224.aif,,,,,,NO AUDIO,Connor,mel6
mel6P225.aif,,,,,,NO AUDIO,Connor,mel6
mel6P227.aif,,,,201,1,not really in a key,Connor,mel6
mel6P228.aif,,,,120,2,not really in a key,Connor,mel6
mel6P229.aif,,,,120,2,not really in a key,Connor,mel6
mel6P230.aif,,,,101,1,,Connor,mel6
