melodyFile,db3,db2,db1,dbVector,dbAscDesc,coder,melody
mel4P209.aif,ti,re,do,21,2,Dave,mel4
mel4P210.aif,do,re,do,10,2,Dave,mel4
mel4P211.aif,do,re,do,10,2,Dave,mel4
mel4P212.aif,ti,re,do,21,2,Dave,mel4
mel4P213.aif,do,re,do,10,2,Dave,mel4
mel4P214.aif,do,re,do,10,2,Dave,mel4
mel4P215.aif,do,ti,do,101,1,Dave,mel4
mel4P216.aif,do,ti,do,101,1,Dave,mel4
mel4P217.aif,do,ti,do,101,1,Dave,mel4
mel4P218.aif,do,ti,do,101,1,Dave,mel4
mel4P219.aif,do,ti,do,101,1,Dave,mel4
mel4P220.aif,,,,NA,,Dave,mel4
mel4P221.aif,,,,NA,,Dave,mel4
mel4P223.aif,do,re,do,10,2,Dave,mel4
mel4P224.aif,,,,NA,,Dave,mel4
mel4P225.aif,,,,NA,,Dave,mel4
mel4P227.aif,do,re,do,10,2,Dave,mel4
mel4P228.aif,do,ti,do,101,1,Dave,mel4
mel4P229.aif,do,ti,do,101,1,Dave,mel4
mel4P230.aif,do,ti,do,101,1,Dave,mel4
