melodyFile,em3,em2,em1,emVector,emAscDesc,melody,coder
mel7P205.aif,sol,re,do,21,2,Mel7,Elizabeth
mel7P207.aif,la,ti,do,12,1,Mel7,Elizabeth
mel7P208.aif,do,ti,re,102,1,Mel7,Elizabeth
mel7P209.aif,la,ti,do,12,1,Mel7,Elizabeth
mel7P210.aif,sol,ti,do,12,1,Mel7,Elizabeth
mel7P211.aif,do,re,do,10,2,Mel7,Elizabeth
mel7P212.aif,fa,mi,re,210,2,Mel7,Elizabeth
mel7P213.aif,la,ti,do,12,1,Mel7,Elizabeth
mel7P214.aif,do,do,fa,201,1,Mel7,Elizabeth
mel7P215.aif,sol,la,ti,12,1,Mel7,Elizabeth
mel7P216.aif,sol,re,do,21,2,Mel7,Elizabeth
mel7P217.aif,re,ti,do,12,1,Mel7,Elizabeth
mel7P218.aif,do,mi,re,21,2,Mel7,Elizabeth
mel7P219.aif,fa,mi,do,102,1,Mel7,Elizabeth
mel7P220.aif,sol,re,do,21,2,Mel7,Elizabeth
mel7P221.aif,mi,fa,sol,12,1,Mel7,Elizabeth
mel7P223.aif,do,re,mi,12,1,Mel7,Elizabeth
mel7P225.aif,NA,NA,NA,NA,NA,Mel7,Elizabeth
mel7P227.aif,la,ti,do,12,1,Mel7,Elizabeth
mel7P228.aif,mi,re,do,210,2,Mel7,Elizabeth
mel7P229.aif,la,ti,do,12,1,Mel7,Elizabeth
mel7P230.aif,ti,re,do,21,2,Mel7,Elizabeth
mel8P001.aif,do,ti,do,101,1,Mel8,Elizabeth
mel8P002.aif,sol,re,do,21,2,Mel8,Elizabeth
mel8P003.aif,sol,ti,do,12,1,Mel8,Elizabeth
mel8P004.aif,sol,ti,do,12,1,Mel8,Elizabeth
mel8P006.aif,do,ti,do,101,1,Mel8,Elizabeth
mel8P007.aif,la,sol,do,102,1,Mel8,Elizabeth
mel8P008.aif,do,ti,do,101,1,Mel8,Elizabeth
mel8P009.aif,sol,ti,do,12,1,Mel8,Elizabeth
mel8P010.aif,sol,re,do,21,2,Mel8,Elizabeth
mel8P011.aif,mi,re,do,210,2,Mel8,Elizabeth
mel8P012.aif,la,re,do,21,2,Mel8,Elizabeth
mel8P013.aif,mi,re,do,21,2,Mel8,Elizabeth
mel8P014.aif,fa,mi,sol,102,1,Mel8,Elizabeth
mel8P015.aif,sol,ti,do,12,1,Mel8,Elizabeth
mel8P016.aif,sol,re,do,21,2,Mel8,Elizabeth
mel8P017.aif,re,do,sol,210,2,Mel8,Elizabeth
mel8P018.aif,la,ti,do,12,1,Mel8,Elizabeth
mel8P019.aif,mi,sol,do,12,1,Mel8,Elizabeth
mel8P020.aif,sol,re,do,21,2,Mel8,Elizabeth
mel8P021.aif,fa,re,do,210,2,Mel8,Elizabeth
mel8P022.aif,sol,re,do,21,2,Mel8,Elizabeth
mel8P023.aif,la,ti,do,12,1,Mel8,Elizabeth
mel8P024.aif,sol,re,do,21,2,Mel8,Elizabeth
mel8P025.aif,re,ti,do,12,1,Mel8,Elizabeth
